Fecha,Cliente,Descripción,Referencia,Importe
01/06/2024,Transporte del Sur S.A.,Despacho de contenedor marítimo,REF-1001,15200.5
02/06/2024,Logística Integral SRL,Almacenaje de pallets,REF-1002,3200.0
03/06/2024,Importadora Río,Entrega puerta a puerta,REF-1003,8500.0
04/06/2024,Distribuciones Patagónicas,Consolidación de carga,REF-1004,4100.0
05/06/2024,Transporte del Sur S.A.,Despacho aduanero,REF-1005,2100.0
06/06/2024,Logística Integral SRL,Movilización de bultos,REF-1006,1800.0
07/06/2024,Importadora Río,Almacenaje temporal,REF-1007,950.0
08/06/2024,Distribuciones Patagónicas,Entrega en depósito fiscal,REF-1008,3700.0
09/06/2024,Transporte del Sur S.A.,Carga y descarga de camión,REF-1009,1200.0
10/06/2024,Logística Integral SRL,Gestión de documentación,REF-1010,600.0
11/06/2024,Importadora Río,Despacho de contenedor marítimo,REF-1011,15300.0
12/06/2024,Distribuciones Patagónicas,Almacenaje de pallets,REF-1012,3300.0
13/06/2024,Transporte del Sur S.A.,Entrega puerta a puerta,REF-1013,8700.0
14/06/2024,Logística Integral SRL,Consolidación de carga,REF-1014,4200.0
15/06/2024,Importadora Río,Despacho aduanero,REF-1015,2200.0
16/06/2024,Distribuciones Patagónicas,Movilización de bultos,REF-1016,1850.0
17/06/2024,Transporte del Sur S.A.,Almacenaje temporal,REF-1017,980.0
18/06/2024,Logística Integral SRL,Entrega en depósito fiscal,REF-1018,3800.0
19/06/2024,Importadora Río,Carga y descarga de camión,REF-1019,1250.0
20/06/2024,Distribuciones Patagónicas,Gestión de documentación,REF-1020,650.0
21/06/2024,Transporte del Sur S.A.,Despacho de contenedor marítimo,REF-1021,15400.0
22/06/2024,Logística Integral SRL,Almacenaje de pallets,REF-1022,3400.0
23/06/2024,Importadora Río,Entrega puerta a puerta,REF-1023,8900.0
24/06/2024,Distribuciones Patagónicas,Consolidación de carga,REF-1024,4300.0
25/06/2024,Transporte del Sur S.A.,Despacho aduanero,REF-1025,2300.0
26/06/2024,Logística Integral SRL,Movilización de bultos,REF-1026,1900.0
27/06/2024,Importadora Río,Almacenaje temporal,REF-1027,1000.0
28/06/2024,Distribuciones Patagónicas,Entrega en depósito fiscal,REF-1028,3900.0
29/06/2024,Transporte del Sur S.A.,Carga y descarga de camión,REF-1029,1300.0
30/06/2024,Logística Integral SRL,Gestión de documentación,REF-1030,700.0
01/07/2024,Importadora Río,Despacho de contenedor marítimo,REF-1031,15500.0
02/07/2024,Distribuciones Patagónicas,Almacenaje de pallets,REF-1032,3500.0
03/07/2024,Transporte del Sur S.A.,Entrega puerta a puerta,REF-1033,9100.0
04/07/2024,Logística Integral SRL,Consolidación de carga,REF-1034,4400.0
05/07/2024,Importadora Río,Despacho aduanero,REF-1035,2400.0
06/07/2024,Distribuciones Patagónicas,Movilización de bultos,REF-1036,1950.0
07/07/2024,Transporte del Sur S.A.,Almacenaje temporal,REF-1037,1020.0
08/07/2024,Logística Integral SRL,Entrega en depósito fiscal,REF-1038,4000.0
09/07/2024,Importadora Río,Carga y descarga de camión,REF-1039,1350.0
10/07/2024,Distribuciones Patagónicas,Gestión de documentación,REF-1040,750.0
11/07/2024,Transporte del Sur S.A.,Despacho de contenedor marítimo,REF-1041,15600.0
12/07/2024,Logística Integral SRL,Almacenaje de pallets,REF-1042,3600.0
13/07/2024,Importadora Río,Entrega puerta a puerta,REF-1043,9300.0
14/07/2024,Distribuciones Patagónicas,Consolidación de carga,REF-1044,4500.0
15/07/2024,Transporte del Sur S.A.,Despacho aduanero,REF-1045,2500.0
16/07/2024,Logística Integral SRL,Movilización de bultos,REF-1046,2000.0
17/07/2024,Importadora Río,Almacenaje temporal,REF-1047,1050.0
18/07/2024,Distribuciones Patagónicas,Entrega en depósito fiscal,REF-1048,4100.0
